Origin,Dest,rorg,rdes
ABE,ALB,1,2
ABE,ATL,6032,7003
ABE,AVP,346,567
ABE,AZO,1,0
ABE,BDL,0,1
ABE,BHM,1,0
ABE,BWI,799,1210
ABE,CLE,455,1369
ABE,CLT,1952,2580
ABE,CVG,1462,2391
ABE,DCA,44,133
ABE,DTW,2395,6286
ABE,FWA,2,0
ABE,GRR,1,0
ABE,HPN,51,66
ABE,IAD,354,483
ABE,IND,0,0
ABE,JFK,10,10
ABE,LGA,56,82
ABE,MCO,397,464
ABE,MDT,4506,4579
ABE,ORD,8670,9471
ABE,PHL,189,236
ABE,PIT,7249,9478
ABE,RDU,21,80
ABE,ROC,1,0
ABE,SBN,1,0
ABI,CLL,3,0
ABI,DFW,2985,5056
ABI,IAH,403,414
ABI,LAX,0,1
ABI,SJT,0,0
ABI,TYR,0,0
ABI,VCT,1,0
ABQ,AMA,6363,6754
ABQ,ATL,4589,5521
ABQ,AUS,197,161
ABQ,BNA,36,16
ABQ,BWI,790,595
ABQ,CLE,7,16
ABQ,COS,423,604
ABQ,CVG,2963,3500
ABQ,DAL,16029,17599
ABQ,DEN,19733,27270
ABQ,DFW,21356,30565
ABQ,ELP,13304,15382
ABQ,EWR,211,198
ABQ,GJT,4,0
ABQ,HOU,3874,4218
ABQ,IAD,176,278
ABQ,IAH,7115,13075
ABQ,IDA,1,0
ABQ,LAS,16579,21170
ABQ,LAX,18106,20161
ABQ,LBB,4500,5322
ABQ,MAF,2987,3734
ABQ,MCI,5436,5765
ABQ,MCO,1824,1700
ABQ,MDW,1226,950
ABQ,MKC,1,0
ABQ,MSP,2393,4120
ABQ,OAK,2611,2471
ABQ,OKC,190,166
ABQ,ONT,181,174
ABQ,ORD,5872,7866
ABQ,PDX,803,734
ABQ,PHX,45891,63142
ABQ,PIH,0,0
ABQ,PIT,3205,3265
ABQ,PSP,0,0
ABQ,SAN,6240,6438
ABQ,SAT,255,234
ABQ,SEA,1017,932
ABQ,SFO,5228,5502
ABQ,SLC,9934,13139
ABQ,SMF,188,291
ABQ,SNA,1,0
ABQ,STL,9554,13933
ABQ,TPA,1561,1258
ABQ,TUL,367,253
ABQ,TUS,4119,4480
ABQ,TWF,1,0
ABY,ATL,2355,3224
