rorg,rdes,Origin,Dest
453,923,William B Hartsfield-Atlanta In,Lehigh Valley International    
0,0,Wilkes-Barre/Scranton Intl     ,Lehigh Valley International    
1,0,Baltimore-Washington Internatio,Lehigh Valley International    
51,236,Cleveland-Hopkins Intl         ,Lehigh Valley International    
23,158,Charlotte/Douglas International,Lehigh Valley International    
145,465,Cincinnati Northern Kentucky In,Lehigh Valley International    
0,0,Ronald Reagan Washington Nation,Lehigh Valley International    
33,335,Detroit Metropolitan-Wayne Coun,Lehigh Valley International    
0,0,Newark Intl                    ,Lehigh Valley International    
23,80,Washington Dulles International,Lehigh Valley International    
0,0,Indianapolis International     ,Lehigh Valley International    
0,0,LaGuardia                      ,Lehigh Valley International    
0,0,Orlando International          ,Lehigh Valley International    
0,0,Harrisburg Intl                ,Lehigh Valley International    
0,0,General Mitchell International ,Lehigh Valley International    
45,567,Chicago O'Hare International   ,Lehigh Valley International    
5,99,Philadelphia Intl              ,Lehigh Valley International    
0,0,Pittsburgh International       ,Lehigh Valley International    
0,0,Raleigh-Durham International   ,Lehigh Valley International    
0,0,Alexandria International       ,Abilene Regional               
0,0,Easterwood                     ,Abilene Regional               
651,1708,Dallas-Fort Worth International,Abilene Regional               
22,254,George Bush Intercontinental   ,Abilene Regional               
0,0,Indianapolis International     ,Abilene Regional               
0,0,McAllen Miller International   ,Abilene Regional               
0,0,Metropolitan Oakland Internatio,Abilene Regional               
1,0,Ontario International          ,Abilene Regional               
0,0,Salt Lake City Intl            ,Abilene Regional               
17,144,Amarillo International         ,Albuquerque International      
103,774,William B Hartsfield-Atlanta In,Albuquerque International      
3,48,Austin-Bergstrom International ,Albuquerque International      
16,223,Baltimore-Washington Internatio,Albuquerque International      
0,1,Cleveland-Hopkins Intl         ,Albuquerque International      
0,0,City of Colorado Springs Muni  ,Albuquerque International      
43,223,Cincinnati Northern Kentucky In,Albuquerque International      
104,1480,Dallas Love                    ,Albuquerque International      
188,1575,Denver Intl                    ,Albuquerque International      
876,1664,Dallas-Fort Worth International,Albuquerque International      
