rorg,rdes,Origin,Dest
437,867,William B Hartsfield-Atlanta In,Lehigh Valley International    
0,0,Wilkes-Barre/Scranton Intl     ,Lehigh Valley International    
1,0,Baltimore-Washington Internatio,Lehigh Valley International    
43,215,Cleveland-Hopkins Intl         ,Lehigh Valley International    
23,151,Charlotte/Douglas International,Lehigh Valley International    
144,452,Cincinnati Northern Kentucky In,Lehigh Valley International    
0,0,Ronald Reagan Washington Nation,Lehigh Valley International    
29,292,Detroit Metropolitan-Wayne Coun,Lehigh Valley International    
0,0,Newark Intl                    ,Lehigh Valley International    
23,80,Washington Dulles International,Lehigh Valley International    
0,0,Indianapolis International     ,Lehigh Valley International    
0,0,LaGuardia                      ,Lehigh Valley International    
0,0,Orlando International          ,Lehigh Valley International    
0,0,Harrisburg Intl                ,Lehigh Valley International    
0,0,General Mitchell International ,Lehigh Valley International    
41,492,Chicago O'Hare International   ,Lehigh Valley International    
5,99,Philadelphia Intl              ,Lehigh Valley International    
0,0,Pittsburgh International       ,Lehigh Valley International    
0,0,Raleigh-Durham International   ,Lehigh Valley International    
0,0,Alexandria International       ,Abilene Regional               
0,0,Easterwood                     ,Abilene Regional               
602,1579,Dallas-Fort Worth International,Abilene Regional               
22,254,George Bush Intercontinental   ,Abilene Regional               
0,0,Indianapolis International     ,Abilene Regional               
0,0,McAllen Miller International   ,Abilene Regional               
0,0,Metropolitan Oakland Internatio,Abilene Regional               
1,0,Ontario International          ,Abilene Regional               
0,0,Salt Lake City Intl            ,Abilene Regional               
14,141,Amarillo International         ,Albuquerque International      
97,729,William B Hartsfield-Atlanta In,Albuquerque International      
0,26,Austin-Bergstrom International ,Albuquerque International      
15,208,Baltimore-Washington Internatio,Albuquerque International      
0,1,Cleveland-Hopkins Intl         ,Albuquerque International      
0,0,City of Colorado Springs Muni  ,Albuquerque International      
40,215,Cincinnati Northern Kentucky In,Albuquerque International      
95,1343,Dallas Love                    ,Albuquerque International      
183,1441,Denver Intl                    ,Albuquerque International      
852,1515,Dallas-Fort Worth International,Albuquerque International      
10,165,El Paso International          ,Albuquerque International      
11,119,Newark Intl                    ,Albuquerque International      
1,0,Four Corners Regional          ,Albuquerque International      
53,496,William P Hobby                ,Albuquerque International      
11,76,Washington Dulles International,Albuquerque International      
332,819,George Bush Intercontinental   ,Albuquerque International      
0,0,John F Kennedy Intl            ,Albuquerque International      
62,1450,McCarran International         ,Albuquerque International      
10,1169,Los Angeles International      ,Albuquerque International      
12,201,Lubbock International          ,Albuquerque International      
5,72,Midland International          ,Albuquerque International      
21,323,Kansas City International      ,Albuquerque International      
52,212,Orlando International          ,Albuquerque International      
50,451,Chicago Midway                 ,Albuquerque International      
0,0,Memphis International          ,Albuquerque International      
52,595,Minneapolis-St Paul Intl       ,Albuquerque International      
