rorg,rdes,Origin,Dest
271,572,Allentown,Atlanta
257,419,Allentown,Wilkes-Barre Scranton
228,325,Allentown,Baltimore
247,1156,Allentown,Detroit
51,66,Allentown,White Plains
120,186,Allentown,Harrisburg
975,1051,Allentown,Chicago
1333,1877,Allentown,Pittsburgh
1,0,Allentown,Rochester
2,0,Abilene,Dallas-Fort Worth
925,918,Albuquerque,Amarillo
52,42,Albuquerque,Austin
36,16,Albuquerque,Nashville
1046,1375,Albuquerque,Dallas
2051,3418,Albuquerque,Denver
2518,4012,Albuquerque,Dallas-Fort Worth
1990,2205,Albuquerque,El Paso
368,436,Albuquerque,Houston
310,715,Albuquerque,Houston
1217,1799,Albuquerque,Las Vegas
1918,2536,Albuquerque,Los Angeles
608,746,Albuquerque,Lubbock
272,548,Albuquerque,Midland
81,305,Albuquerque,Kansas City
851,1135,Albuquerque,Chicago
4211,7948,Albuquerque,Phoenix
519,542,Albuquerque,Pittsburgh
255,180,Albuquerque,San Diego
54,58,Albuquerque,San Antonio
832,793,Albuquerque,San Francisco
372,1176,Albuquerque,Salt Lake City
568,1335,Albuquerque,St Louis
128,79,Albuquerque,Tulsa
554,654,Albuquerque,Tucson
4,4,Arcata Eureka,Redding
7,12,Arcata Eureka,San Francisco
384,693,Atlantic City,Pittsburgh
763,2209,Augusta,Atlanta
304,372,Augusta,Columbia
583,888,Augusta,Charlotte
321,921,Albany,Atlanta
1,1,Albany,Windsor Locks
109,86,Albany,Bangor
557,833,Albany,Buffalo
1435,1976,Albany,Baltimore
292,535,Albany,Cleveland
363,728,Albany,Arlington
511,1522,Albany,Detroit
879,1633,Albany,Islip
2,0,Albany,New York
80,117,Albany,Manchester
2857,3047,Albany,Chicago
1224,1449,Albany,Philadelphia
1655,1697,Albany,Pittsburgh
6,7,Albany,Providence
181,226,Albany,Portland
421,741,Albany,Raleigh
231,379,Albany,Rochester
95,122,Albany,Syracuse
15,26,Waterloo,Rochester
16,29,Waterloo,St Louis
572,448,Amarillo,Albuquerque
1224,1640,Amarillo,Dallas
113,311,Amarillo,Denver
1540,2783,Amarillo,Dallas-Fort Worth
243,447,Amarillo,Lubbock
113,104,Amarillo,Midland
172,677,Anchorage,Bethel
187,446,Anchorage,Cordova
62,78,Anchorage,Denver
2351,3824,Anchorage,Fairbanks
1,2,Anchorage,Honolulu
477,990,Anchorage,Juneau
118,179,Anchorage,Minneapolis
174,626,Anchorage,Nome
303,314,Anchorage,Chicago
254,578,Anchorage,Kotzebue
149,371,Anchorage,Portland
207,592,Anchorage,Deadhorse
3607,6675,Anchorage,Seattle
25,138,Anchorage,San Francisco
1,1,Anchorage,Sitka
414,789,Anchorage,Salt Lake City
322,406,Naples,Tampa
199,464,Atlanta,Allentown
1185,3048,Atlanta,Augusta
516,1012,Atlanta,Albany
799,1261,Atlanta,Austin
28,96,Atlanta,Wilkes-Barre Scranton
1559,2750,Atlanta,Windsor Locks
2724,5637,Atlanta,Birmingham
2459,5293,Atlanta,Nashville
3189,4681,Atlanta,Boston
651,1218,Atlanta,Baton Rouge
901,1415,Atlanta,Buffalo
1938,3586,Atlanta,Baltimore
2246,4472,Atlanta,Columbia
159,401,Atlanta,Akron
989,2745,Atlanta,Chattanooga
2583,4870,Atlanta,Charleston
1592,3413,Atlanta,Cleveland
4426,6568,Atlanta,Charlotte
1507,3414,Atlanta,Columbus
525,1175,Atlanta,Columbus
1433,2847,Atlanta,Covington
1123,2439,Atlanta,Daytona Beach
774,1880,Atlanta,Dayton
4009,5717,Atlanta,Arlington
2276,3234,Atlanta,Denver
5354,7478,Atlanta,Dallas-Fort Worth
2812,5286,Atlanta,Detroit
3412,5329,Atlanta,Newark
3031,5610,Atlanta,Ft. Lauderdale
165,389,Atlanta,Fort Wayne
444,1016,Atlanta,Gainesville
1818,3859,Atlanta,Greensboro
1863,4098,Atlanta,Greer
294,264,Atlanta,Honolulu
1038,2210,Atlanta,Houston
648,1187,Atlanta,Huntsville
1782,3478,Atlanta,Chantilly
2698,3872,Atlanta,Houston
1247,2685,Atlanta,Indianapolis
1228,2068,Atlanta,Jackson
3736,6353,Atlanta,Jacksonville
896,1104,Atlanta,New York
486,802,Atlanta,Las Vegas
2559,3160,Atlanta,Los Angeles
882,1697,Atlanta,Lexington
4684,6410,Atlanta,New York
668,1256,Atlanta,Little Rock
1874,3332,Atlanta,Kansas City
4248,7169,Atlanta,Orlando
2597,5505,Atlanta,Memphis
1268,2567,Atlanta,Montgomery
4735,7311,Atlanta,Miami
617,1028,Atlanta,Milwaukee
1103,2266,Atlanta,Melbourne
242,434,Atlanta,Monroe
1610,3131,Atlanta,Mobile
1342,3035,Atlanta,Minneapolis
2598,4488,Atlanta,New Orleans
438,870,Atlanta,Oklahoma City
320,584,Atlanta,Omaha
465,475,Atlanta,Ontario
6964,9829,Atlanta,Chicago
1129,2699,Atlanta,Norfolk
2294,3606,Atlanta,West Palm Beach
379,416,Atlanta,Portland
4236,6446,Atlanta,Philadelphia
1036,1588,Atlanta,Phoenix
3427,5321,Atlanta,Pittsburgh
1908,3468,Atlanta,Pensacola
238,382,Atlanta,Providence
2314,4874,Atlanta,Raleigh
1203,2679,Atlanta,Richmond
445,932,Atlanta,Rochester
1979,3810,Atlanta,Ft. Myers
395,428,Atlanta,San Diego
877,1614,Atlanta,San Antonio
2094,4335,Atlanta,Savannah
2205,3616,Atlanta,Louisville
968,1395,Atlanta,Seattle
2033,2377,Atlanta,San Francisco
148,427,Atlanta,Shreveport
1338,1915,Atlanta,San Juan
1647,2359,Atlanta,Salt Lake City
1624,3340,Atlanta,Sarasota
2491,5235,Atlanta,St Louis
94,144,Atlanta,Charlotte Amalie
313,667,Atlanta,Syracuse
1026,2403,Atlanta,Tallahassee
271,889,Atlanta,Toledo
3482,5989,Atlanta,Tampa
776,1384,Atlanta,Tulsa
107,102,Atlanta,Tucson
1483,3314,Atlanta,Knoxville
5,9,Appleton,Mosinee
55,103,Appleton,Detroit
26,156,Appleton,Green Bay
178,537,Appleton,Minneapolis
134,231,Austin,Albuquerque
808,1433,Austin,Atlanta
1764,1848,Austin,Dallas
674,706,Austin,Denver
3896,6802,Austin,Dallas-Fort Worth
726,939,Austin,El Paso
2624,2646,Austin,Houston
183,257,Austin,Harlingen
1278,2452,Austin,Houston
147,114,Austin,Las Vegas
277,342,Austin,Los Angeles
392,428,Austin,Lubbock
389,672,Austin,Midland
341,1024,Austin,Memphis
2,2,Austin,New Orleans
1185,1621,Austin,Chicago
1441,2213,Austin,Phoenix
762,1374,Austin,San Antonio
206,802,Austin,St Louis
424,538,Asheville,Baltimore
2172,2632,Asheville,Charlotte
0,1,Asheville,Lexington
278,900,Wilkes-Barre Scranton,Allentown
1,0,Wilkes-Barre Scranton,Windsor Locks
17,9,Wilkes-Barre Scranton,Elmira
72,243,Wilkes-Barre Scranton,Philadelphia
