Origin,Dest,rorg,rdes
ABE,ALB,0,0
ABE,ATL,205,344
ABE,AVP,0,0
ABE,AZO,0,0
ABE,BDL,0,0
ABE,BWI,0,0
ABE,CLE,19,40
ABE,CLT,6,47
ABE,CVG,99,261
ABE,DCA,0,0
ABE,DTW,16,51
ABE,FWA,0,0
ABE,GRR,0,0
ABE,HPN,0,0
ABE,IAD,9,24
ABE,IND,0,0
ABE,JFK,0,0
ABE,LGA,0,0
ABE,MCO,0,0
ABE,MDT,0,0
ABE,ORD,14,144
ABE,PHL,7,51
ABE,PIT,0,0
ABE,RDU,0,0
ABE,ROC,0,0
ABE,SBN,0,0
ABI,CLL,0,0
ABI,DFW,79,420
ABI,IAH,42,60
ABI,LAX,0,0
ABI,SJT,0,0
ABI,TYR,0,0
ABI,VCT,0,0
ABQ,AMA,16,187
ABQ,ATL,17,208
ABQ,AUS,0,0
ABQ,BNA,0,0
ABQ,BWI,2,60
ABQ,CLE,0,1
ABQ,COS,0,0
ABQ,CVG,7,113
ABQ,DAL,32,711
ABQ,DEN,44,581
ABQ,DFW,107,507
ABQ,ELP,16,245
ABQ,EWR,2,14
ABQ,GJT,0,0
ABQ,HOU,12,244
ABQ,IAD,0,11
ABQ,IAH,28,208
ABQ,IDA,0,0
ABQ,LAS,42,592
ABQ,LAX,25,490
ABQ,LBB,6,130
ABQ,MAF,5,140
ABQ,MCI,6,283
ABQ,MCO,10,178
ABQ,MDW,18,102
ABQ,MKC,0,0
ABQ,MSP,19,154
ABQ,OAK,9,187
ABQ,OKC,0,0
ABQ,ONT,0,0
ABQ,ORD,55,215
ABQ,PDX,2,99
ABQ,PHX,97,1403
ABQ,PIH,0,0
ABQ,PIT,0,0
ABQ,PSP,0,0
ABQ,SAN,18,296
ABQ,SAT,0,0
ABQ,SEA,3,54
ABQ,SFO,1,139
ABQ,SLC,51,395
ABQ,SNA,0,0
ABQ,STL,15,182
ABQ,TPA,3,100
ABQ,TUL,0,0
ABQ,TUS,10,206
ABQ,TWF,0,0
ABY,ATL,113,277
ABY,MCN,0,0
ABY,VLD,0,0
ACK,EWR,7,59
ACK,LGA,0,0
ACT,CLL,0,0
ACT,DFW,76,107
ACT,IAH,41,115
ACT,ILE,1,0
ACT,SJT,0,1
ACT,TYR,0,1
ACV,CEC,35,71
ACV,CIC,0,0
ACV,MFR,2,1
ACV,MRY,0,0
ACV,RDD,0,1
ACV,SFO,64,661
ACV,SMF,17,55
ACY,ATL,16,54
ACY,BOS,0,3
ACY,CVG,69,129
ACY,JFK,2,0
ACY,LGA,1,0
ACY,MCO,0,7
ACY,PIT,0,0
ADK,AKN,4,59
ADK,ANC,0,0
ADQ,ANC,12,261
AEX,ABI,0,0
AEX,ATL,164,271
AEX,AUS,0,0
AEX,BTR,0,0
AEX,DFW,69,68
AEX,GTR,1,4
AEX,HOU,0,0
AEX,IAH,46,114
AEX,ILE,0,0
AEX,JAN,0,0
AEX,LFT,0,0
AEX,MLU,0,0
AEX,MSY,0,0
AEX,SHV,0,0
AGS,ATL,218,636
AGS,CAE,0,0
AGS,CHA,0,0
AGS,CHS,0,0
AGS,CLE,0,0
AGS,CLT,0,2
AGS,CVG,0,0
AGS,EWR,42,29
AGS,IAH,10,31
AGS,JFK,0,0
AGS,LGA,0,0
AGS,SAV,0,0
AKN,ADK,12,61
AKN,ANC,0,60
AKN,DLG,4,2
ALB,ATL,84,380
ALB,BDL,1,0
ALB,BGR,0,0
ALB,BOS,0,0
ALB,BTV,0,0
ALB,BUF,0,0
ALB,BWI,96,593
ALB,CLE,23,144
ALB,CLT,49,259
ALB,CVG,61,204
ALB,DCA,24,178
ALB,DTW,41,249
ALB,EWR,23,100
ALB,GRR,0,0
ALB,IAD,13,102
ALB,ISP,0,0
ALB,JFK,12,7
ALB,LAS,8,60
ALB,LGA,0,0
ALB,MCO,20,144
ALB,MDW,18,38
ALB,MHT,0,0
ALB,MKE,0,0
ALB,ORD,58,584
ALB,PHL,38,202
ALB,PIT,16,40
ALB,PVD,0,0
ALB,PWM,0,0
ALB,RDU,0,0
ALB,ROC,0,0
ALB,SBN,0,0
ALB,SWF,0,0
ALB,SYR,0,0
ALB,TPA,0,7
ALO,MSP,0,0
ALO,RST,0,0
ALO,STL,0,0
AMA,ABQ,10,94
AMA,COS,0,0
AMA,DAL,50,375
AMA,DEN,0,0
AMA,DFW,213,411
AMA,IAH,54,184
AMA,LAS,6,26
AMA,LBB,0,0
AMA,MAF,0,0
AMA,ORD,0,0
AMA,PHX,0,0
AMA,SLC,0,0
ANC,ADK,0,0
ANC,ADQ,54,265
ANC,AKN,14,131
ANC,ANI,0,0
ANC,ATL,0,42
ANC,BET,74,537
ANC,BFI,0,0
ANC,BRW,0,0
ANC,CDV,6,280
ANC,CVG,0,5
ANC,DEN,2,230
ANC,DFW,0,58
ANC,DLG,5,107
ANC,DTW,2,34
ANC,DUT,24,56
ANC,EWR,0,2
ANC,FAI,28,1542
ANC,HNL,0,0
ANC,IAH,4,84
ANC,JNU,37,749
ANC,LAS,1,80
ANC,LAX,0,83
ANC,MSP,10,305
ANC,OGG,5,34
ANC,OME,22,140
ANC,ORD,5,396
ANC,OTZ,33,499
ANC,PDX,8,272
ANC,PHX,5,89
ANC,SCC,11,142
ANC,SEA,80,2747
ANC,SFO,0,61
ANC,SIT,0,0
ANC,SLC,5,190
ANC,STL,0,11
ANC,YAK,0,0
