Origin,Dest,rorg,rdes
ABE,ALB,1,2
ABE,ATL,5927,6857
ABE,AVP,346,567
ABE,AZO,1,0
ABE,BDL,0,1
ABE,BWI,799,1210
ABE,CLE,413,1247
ABE,CLT,1946,2555
ABE,CVG,1458,2357
ABE,DCA,44,133
ABE,DTW,2302,6141
ABE,FWA,2,0
ABE,GRR,1,0
ABE,HPN,51,66
ABE,IAD,354,483
ABE,IND,0,0
ABE,JFK,7,7
ABE,LGA,54,80
ABE,MCO,397,464
ABE,MDT,4506,4579
ABE,ORD,8526,9292
ABE,PHL,188,235
ABE,PIT,7249,9478
ABE,RDU,21,80
ABE,ROC,1,0
ABE,SBN,1,0
ABI,CLL,3,0
ABI,DFW,2796,4779
ABI,IAH,403,414
ABI,LAX,0,1
ABI,SJT,0,0
ABI,TYR,0,0
ABI,VCT,1,0
ABQ,AMA,6305,6690
ABQ,ATL,4501,5388
ABQ,AUS,139,100
ABQ,BNA,36,16
ABQ,BWI,743,574
ABQ,CLE,7,16
ABQ,COS,423,604
ABQ,CVG,2924,3457
ABQ,DAL,15493,17209
ABQ,DEN,19362,26849
ABQ,DFW,21126,30211
ABQ,ELP,13146,15225
ABQ,EWR,183,171
ABQ,GJT,4,0
ABQ,HOU,3733,4103
ABQ,IAD,145,242
ABQ,IAH,6888,12686
ABQ,IDA,1,0
ABQ,LAS,16153,20782
ABQ,LAX,17694,19750
ABQ,LBB,4429,5273
ABQ,MAF,2913,3669
ABQ,MCI,5325,5671
ABQ,MCO,1720,1622
ABQ,MDW,1110,882
ABQ,MKC,1,0
ABQ,MSP,2336,4044
ABQ,OAK,2440,2311
ABQ,OKC,155,127
ABQ,ONT,134,109
ABQ,ORD,5823,7793
ABQ,PDX,720,649
ABQ,PHX,45101,62324
ABQ,PIH,0,0
ABQ,PIT,3205,3265
ABQ,PSP,0,0
ABQ,SAN,6069,6263
ABQ,SAT,172,166
ABQ,SEA,885,828
ABQ,SFO,5214,5448
ABQ,SLC,9688,12846
ABQ,SMF,111,155
ABQ,SNA,1,0
ABQ,STL,9498,13903
ABQ,TPA,1495,1221
ABQ,TUL,322,220
ABQ,TUS,3980,4334
ABQ,TWF,1,0
ABY,ATL,2202,3035
ABY,MCN,0,0
ABY,VLD,0,0
ACK,EWR,490,673
ACK,JFK,95,69
ACK,LGA,4,16
ACT,CLL,0,0
ACT,DFW,2084,4165
ACT,IAH,468,548
ACT,ILE,1,1
ACT,SJT,1,1
ACT,TYR,1,1
ACV,CEC,683,812
ACV,CIC,1,0
ACV,MFR,4,4
ACV,MRY,2,0
ACV,RDD,55,66
ACV,SFO,5414,6140
ACV,SMF,703,1078
ACY,ATL,379,501
ACY,BOS,23,22
ACY,BWI,0,0
ACY,CVG,442,724
ACY,JFK,3,3
ACY,LGA,17,16
ACY,MCO,25,49
ACY,MYR,1,1
